derivat,vnumber,btnumber,at_id,prio_int,ia_genehmigungsstand,pep_bauphase,ksps,istufe,anlauf_sop_at,bo,quelle,av_fzg,pl,basistyp,puk_werk,hybrid,basisausfuehrung,antriebsart,motortyp,rueckgabe_soll,key
8f299afacdd0,55c1baa18277,344e09eddb4b,fc4ac871cde6,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,6bf0d2cd4721,8cbaaf4fe287,1909f4707fbc,4de01d76ccae,7f7926de6290,756653dcabed,a322a33e61ff,e2cf8569465e,7352775fc497,2dbf72b294d1,8f66477f646c,c21c326d9797,20628545408d,7778802fc174
8f299afacdd0,a4e63132e77b,a7794b51cd66,13e95ec199bf,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,afac271cf204,f4f0d803c9db,620c655d09d4,4de01d76ccae,3136afc2b004,756653dcabed,80933a776306,e2cf8569465e,97fcfadd6aae,7c572aeb3f13,8f66477f646c,f998841971b1,2768e26f5cb4,6b04e1269d88
8f299afacdd0,0ce16269df5e,dac9790fb376,a6dafa868f10,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,afac271cf204,f4f0d803c9db,547d1fbc079e,4de01d76ccae,52293d89e221,756653dcabed,80933a776306,e2cf8569465e,97fcfadd6aae,7c572aeb3f13,8f66477f646c,f998841971b1,60f9a0684411,6b04e1269d88
f6f8e7019289,bbaee16d7698,2ed031868e2d,5d98a522fa32,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,547d1fbc079e,4de01d76ccae,56c511d500d4,756653dcabed,a198a931ece9,ca12f7e0bc26,97fcfadd6aae,2dbf72b294d1,6ded4dc64807,559d9e8c6c19,772e19be41f7,650ed51ad0b6
df1c8a376ed9,68d105b5a000,3a41ef2ce8d8,6e154202c84b,,6382a318d580,d716ade3ab1c,48bb323e452d,c4e12dc867d3,87017439bad0,b15c2010203b,4de01d76ccae,3136afc2b004,83575dc8dc80,70e6db82eba8,a1506fa41e74,7352775fc497,2dbf72b294d1,8f66477f646c,e36764d55ec2,d3ed32b672b9,ca7f84638a61
9b526c0080bb,f8d56091bd2f,b8adbd6bcc79,b0fa94568c7e,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,e0b972ec3867,87017439bad0,91906b4260da,4de01d76ccae,c232213f1766,756653dcabed,f3db85a22af0,ca12f7e0bc26,97fcfadd6aae,2dbf72b294d1,8f66477f646c,36ff19562bda,18db69655df5,30422b8981e7
df1c8a376ed9,68d0a6babdfc,017955e1fbc3,7d9dae975240,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,4d2cfddd49c0,683d619c2b4f,620c655d09d4,4de01d76ccae,7ae8f3253385,83575dc8dc80,70e6db82eba8,a1506fa41e74,7352775fc497,2dbf72b294d1,8f66477f646c,e36764d55ec2,93c7061938b3,ba696a8446ce
f6f8e7019289,a0e9b97cb9c9,fdb0f08b26af,efba2b427e1c,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,00e672016ac8,4de01d76ccae,7ac3d9c23f87,756653dcabed,ada224502ed5,ca12f7e0bc26,97fcfadd6aae,2dbf72b294d1,8f66477f646c,36ff19562bda,1fcfb3d3ad5f,650ed51ad0b6
f6f8e7019289,de3b5efa2290,4640c0671681,ad13b332ebf0,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,620c655d09d4,4de01d76ccae,cbe1bb20708a,756653dcabed,ef82e447bd5f,ca12f7e0bc26,97fcfadd6aae,2dbf72b294d1,6ded4dc64807,ab04da539770,93c7061938b3,650ed51ad0b6
f6f8e7019289,0cfc237fe8f5,06ecd220265f,cae6a3461066,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,a66669b51838,0a1a6904b336,620c655d09d4,4de01d76ccae,f1de0b76efa9,756653dcabed,ff6e75d6da60,ca12f7e0bc26,ad21b6c84713,2dbf72b294d1,6ded4dc64807,915c1c075d10,93c7061938b3,650ed51ad0b6
